model_display,config,Legal_Consensus,KNK_Accuracy,Faithfulness,Latency_s
LFM 350M,single_agent,62.1,47.5,0.6,32.9
LFM 350M,self_critique,68.3,45.0,0.7,52.7
LFM 350M,multi_proposer,73.3,60.0,0.7,63.0
Qwen 0.5B,single_agent,64.5,62.5,0.6,41.0
Qwen 0.5B,self_critique,70.2,67.5,0.7,65.3
Qwen 0.5B,multi_proposer,75.8,60.0,0.7,76.0
Llama 3.2 1B,single_agent,68.1,50.0,0.7,63.7
Llama 3.2 1B,self_critique,73.3,70.0,0.7,102.7
Llama 3.2 1B,multi_proposer,77.9,75.0,0.8,122.6
LFM 1.2B,single_agent,69.2,57.5,0.7,51.7
LFM 1.2B,self_critique,76.9,70.0,0.8,82.7
LFM 1.2B,multi_proposer,79.3,80.0,0.8,96.6
